,emp_title,emp_length,state,homeownership
129,automotive service lane manager,10.0,WV,OWN
130,military officer captain,10.0,GA,RENT
131,cpa,4.0,CA,MORTGAGE
132,home equity specialist ,10.0,PA,RENT
133,general manager,3.0,WI,RENT
134,,,TX,OWN
135,accounting supervisor,10.0,IN,OWN
136,video management,1.0,CA,OWN
137,claims adjudicator,10.0,OH,MORTGAGE
138,head of product design,2.0,CA,RENT
139,project manager,3.0,CA,RENT
140,sales,10.0,MI,RENT
141,import booking and pricing rep,2.0,NY,MORTGAGE
142,receptionist,1.0,IL,RENT
143,business analysis/csu manager,10.0,GA,MORTGAGE
144,supervisor,5.0,KS,RENT
145,,,NY,OWN
146,clerk,10.0,NY,MORTGAGE
147,formulation scientist,2.0,OH,RENT
148,documentation supervisor,3.0,MA,MORTGAGE
149,director of operations,6.0,MD,MORTGAGE
150,supply chain manager,0.0,AR,RENT
151,executive assistant,3.0,NY,RENT
152,shop foreman,10.0,NY,MORTGAGE
153,research technician,6.0,MS,RENT
154,,,AZ,RENT
155,senior data engineer,4.0,VA,RENT
156,mechanic/owner,10.0,IL,MORTGAGE
157,,,TN,OWN
158,commercial insurance broker,5.0,CA,MORTGAGE
159,field operations supervisor,2.0,IL,MORTGAGE
160,server,0.0,OR,RENT
161,hvac mechanic,7.0,FL,MORTGAGE
162,engineer assistant ,0.0,CA,RENT
163,senior quality analyst,9.0,IN,MORTGAGE
164,production,10.0,MN,MORTGAGE
165,it director,10.0,CA,MORTGAGE
166,,,TX,MORTGAGE
167,sales manager,4.0,NC,MORTGAGE
168,owner,4.0,MS,MORTGAGE
169,journeyman union plumber,2.0,NY,RENT
170,service technician ,5.0,TX,OWN
171,executive director,1.0,NY,MORTGAGE
172,management,10.0,OR,RENT
173,sales,10.0,TX,MORTGAGE
174,customs specialist,0.0,NY,MORTGAGE
175,personal banker,2.0,CA,RENT
176,assistant controller ,2.0,GA,RENT
177,physical therapist assistant ,3.0,AL,MORTGAGE
178,office manager/ bookkeeper,10.0,FL,OWN
179,pilot,10.0,MI,MORTGAGE
180,service technician ,7.0,CO,OWN
181,physician extender ,2.0,SC,RENT
182,yard specialist,3.0,NC,MORTGAGE
183,,,NC,RENT
184,bartender,0.0,WA,RENT
185,lease operator,0.0,LA,OWN
186,dean of humanities and the arts,9.0,NE,RENT
187,rn,10.0,CO,MORTGAGE
188,instructor,6.0,CA,RENT
189,manager,5.0,FL,RENT
190,sales,10.0,CA,RENT
191,finance manager,1.0,FL,RENT
192,crisis counselor,10.0,KY,MORTGAGE
193,senior mechanical assembler,3.0,CA,MORTGAGE
194,maintenance director,8.0,AR,OWN
195,,,NJ,MORTGAGE
196,supervisor,10.0,TX,RENT
197,microbiology labratory security,0.0,CA,OWN
198,telecommunications analyst,3.0,TX,MORTGAGE
199,medical secretary ,6.0,NJ,MORTGAGE
200,financial service specialist,1.0,CA,RENT
201,consultant,1.0,NC,MORTGAGE
202,cook / server,5.0,CA,RENT
203,business analyst ,3.0,NY,RENT
204,cook,8.0,CA,RENT
205,setup operator,6.0,SC,RENT
206,,,AL,RENT
207,analyst,2.0,VA,RENT
208,supervisor ,10.0,CA,MORTGAGE
209,research programmer / analyst,2.0,NC,RENT
210,rapid prototyping manager,3.0,CA,RENT
211,warehouse general,10.0,MI,MORTGAGE
212,pharmacy tech ,2.0,CA,RENT
213,aviation inspector,10.0,CA,MORTGAGE
214,realtor / assistant,5.0,NJ,MORTGAGE
215,paralegal ,10.0,GA,MORTGAGE
216,accountant,5.0,NY,RENT
217,cashier,3.0,WA,RENT
218,owner,10.0,GA,RENT
219,contract specialist ,10.0,MD,RENT
220,,,TX,MORTGAGE
221,chief financial officer,2.0,MA,MORTGAGE
222,officer of corporation,6.0,CA,RENT
223,kitchen designer,4.0,ME,OWN
224,regional manager ,2.0,NY,RENT
225,executive chef,2.0,CA,MORTGAGE
226,telecommunications tech ,5.0,FL,OWN
227,finisher,0.0,VT,RENT
228,operations manager,10.0,NJ,RENT
229,grocery clerk,3.0,OR,RENT
230,mechanic,10.0,TX,OWN
231,services coordinator,2.0,ME,RENT
232,,,MA,MORTGAGE
233,renewal specialist,1.0,IL,RENT
234,associate medical director,2.0,CT,OWN
235,,,NE,RENT
236,junior graphic designer,0.0,OH,RENT
237,ceo president,10.0,GA,MORTGAGE
238,graphic designer,7.0,CA,RENT
239,accounting assistant,5.0,FL,RENT
240,group creative director,0.0,NY,MORTGAGE
241,forming operator,4.0,NY,MORTGAGE
242,large format printing lead,3.0,NY,RENT
243,,,CA,MORTGAGE
244,,,UT,OWN
245,technical sales rep,1.0,FL,OWN
246,pretreatment technician,10.0,WA,RENT
247,manager - projects,10.0,NJ,RENT
248,hydrologist,10.0,MN,MORTGAGE
249,lieutenant,10.0,MA,MORTGAGE
250,autocad ,1.0,MI,OWN
251,office manager,10.0,IL,MORTGAGE
252,pharmacy technician ,10.0,IL,OWN
253,dockworker,3.0,PA,OWN
254,sales,7.0,NC,MORTGAGE
255,consulting database specialist,10.0,OH,RENT
256,house officer ,3.0,NY,OWN
257,vp hr,8.0,KY,MORTGAGE
258,teacher,10.0,NM,RENT
259,shade assembler,5.0,IN,MORTGAGE
260,finance,10.0,AZ,MORTGAGE
261,carpenter,10.0,NY,RENT
262,counselor,2.0,MN,MORTGAGE
263,sales manager,0.0,KY,MORTGAGE
264,certified peer specialist,5.0,VA,MORTGAGE
265,,,PA,RENT
266,medical asst,10.0,MA,RENT
267,,,NJ,MORTGAGE
268,production manager,4.0,TX,MORTGAGE
269,cook,4.0,NY,RENT
270,maintenance tech,0.0,FL,RENT
271,cleaner,4.0,NY,OWN
272,pmo manager,10.0,CA,MORTGAGE
273,,,TN,RENT
274,manger/barber,10.0,IL,MORTGAGE
275,,,CO,MORTGAGE
276,teacher,10.0,AL,MORTGAGE
277,auto tech,10.0,WI,MORTGAGE
278,electronic engineer,8.0,NY,MORTGAGE
279,interior concept designer,1.0,GA,RENT
280,machine operator,1.0,MN,RENT
281,dock worker,10.0,PA,MORTGAGE
282,assistant,10.0,MD,MORTGAGE
283,lead driver,10.0,GA,RENT
284,residential coordinator,1.0,NJ,OWN
285,,,CA,MORTGAGE
286,supervisor ,3.0,NJ,RENT
287,assistant registrar-graduation,10.0,SC,RENT
288,assistant to internet director,4.0,TX,MORTGAGE
289,family skill specialist,4.0,CA,OWN
290,head of shopper engagement,3.0,IL,MORTGAGE
291,shipping & receiving,2.0,OH,RENT
292,rn,0.0,CO,RENT
293,manager,10.0,CA,MORTGAGE
294,managment,10.0,AK,MORTGAGE
295,manager,9.0,KY,MORTGAGE
296,director of operations,3.0,GA,RENT
297,branch manager ,10.0,CA,MORTGAGE
298,rural carrier,10.0,MS,MORTGAGE
299,office administrator,10.0,MI,RENT
300,regional director,2.0,SC,MORTGAGE
301,educator,10.0,NM,MORTGAGE
302,fixed assets manager,10.0,OK,MORTGAGE
303,manager,10.0,DE,MORTGAGE
304,,,PA,MORTGAGE
305,rn,10.0,NJ,MORTGAGE
306,hub employee,10.0,CA,RENT
307,technical solutions architecture manager,6.0,NC,MORTGAGE
308,dentist ,10.0,NY,RENT
309,social worker,7.0,CA,RENT
310,service representative,1.0,NY,RENT
311,delivery merchandiser,10.0,SC,RENT
312,physician ,0.0,MA,RENT
313,executive assistant,3.0,CA,RENT
314,attorney,6.0,CT,MORTGAGE
315,dietary aide,10.0,MN,RENT
316,engineer departnent,0.0,CA,RENT
317,nurse practitioner ,9.0,NC,MORTGAGE
318,cashier ,0.0,UT,RENT
319,principal ,10.0,NV,MORTGAGE
320,manager ,8.0,NY,MORTGAGE
321,fbc,1.0,NC,MORTGAGE
322,shipping clerk,10.0,GA,MORTGAGE
323,claims investigator,3.0,CA,RENT
324,executive customer service,10.0,FL,MORTGAGE
325,engineering supervisor,10.0,IL,MORTGAGE
326,administrator,10.0,TX,MORTGAGE
327,,,FL,MORTGAGE
328,legal assistant,10.0,FL,RENT
329,registered nurse,0.0,MO,MORTGAGE
330,deputy sheriff,10.0,MA,MORTGAGE
331,project manager,10.0,CO,RENT
332,lead software architect,2.0,NH,MORTGAGE
333,sales,10.0,PA,MORTGAGE
334,ir technologist ,10.0,VT,MORTGAGE
335,engineer tech,6.0,MI,MORTGAGE
336,owner/operator,10.0,AZ,MORTGAGE
337,manager,6.0,IN,MORTGAGE
338,sales,10.0,WA,RENT
339,carpenter,10.0,MA,RENT
340,sales manger,1.0,CA,MORTGAGE
341,claims examiner ii,1.0,CA,OWN
342,patternmaker / designer,6.0,CA,RENT
343,senior chemist,4.0,NJ,MORTGAGE
344,civil engineering tech,2.0,MN,MORTGAGE
345,operations manager,9.0,GA,MORTGAGE
346,owner operator,4.0,CA,RENT
347,district technology support analyst,10.0,CA,RENT
348,sr rest engineer ,3.0,UT,RENT
349,owner,10.0,VA,MORTGAGE
350,chef,0.0,TX,RENT
351,receptionist,1.0,WA,RENT
352,manager,10.0,TX,MORTGAGE
353,manager,10.0,NJ,OWN
354,office manager,1.0,OR,RENT
355,patient care coordinator,9.0,VA,RENT
356,sergeant,7.0,NY,RENT
357,personal asst ,10.0,IL,MORTGAGE
358,stylist/owner,8.0,NY,RENT
359,registered nurse,7.0,FL,MORTGAGE
360,executive assistant,1.0,CA,RENT
361,territory manager,5.0,AZ,MORTGAGE
362,welder/fabricator,8.0,GA,OWN
363,solutions manager,1.0,MI,OWN
364,health technician,2.0,CA,RENT
365,,,MD,MORTGAGE
366,hr analyst,0.0,FL,RENT
367,editor,10.0,OH,MORTGAGE
368,account manager,1.0,IN,RENT
369,loan analyst,3.0,MI,RENT
370,senior research project manager,10.0,MA,MORTGAGE
371,senior dba,3.0,IL,MORTGAGE
372,paralegal,10.0,TN,MORTGAGE
373,pr representative,1.0,AK,RENT
374,teacher,10.0,AL,OWN
375,,,OH,MORTGAGE
376,truck driver,9.0,IN,MORTGAGE
377,manager ii,10.0,CA,MORTGAGE
378,hr data tech,1.0,CO,RENT
379,department mananger,10.0,AL,MORTGAGE
380,supervisory auditor,10.0,GA,MORTGAGE
381,research specialist,5.0,NE,RENT
382,firefighter,1.0,CT,RENT
383,book keeper,10.0,WA,OWN
384,direct support,2.0,NY,RENT
385,business systems analyst,0.0,FL,MORTGAGE
386,teacher,2.0,NJ,RENT
387,business development associate,5.0,FL,RENT
388,owner,10.0,FL,MORTGAGE
389,owner,9.0,FL,OWN
390,compliance manager,7.0,GA,OWN
391,"inventory specialist, purchasing",10.0,AZ,MORTGAGE
392,,,MI,OWN
393,legal advisor,3.0,VA,RENT
394,disclosure specialists ,0.0,CA,RENT
395,sr program manager,10.0,FL,RENT
396,accountant ,0.0,CO,MORTGAGE
397,marketing,1.0,NY,RENT
398,beauty stylist,4.0,IN,MORTGAGE
399,transportation/ cdl driver,5.0,MA,RENT
400,security officer,10.0,NJ,MORTGAGE
401,warranty administrator,8.0,NY,MORTGAGE
402,financial clerk,6.0,NY,RENT
403,,,MD,RENT
404,safety monitor,2.0,AZ,RENT
405,civil engineer,1.0,MS,RENT
406,roofer,10.0,AL,RENT
407,general manager,8.0,NC,MORTGAGE
408,enterprise account executive,1.0,MN,RENT
409,painter,7.0,TX,MORTGAGE
410,program support clerk,3.0,FL,RENT
411,community development manger,3.0,CA,RENT
412,installer,10.0,CA,MORTGAGE
413,teller,9.0,NY,RENT
414,laborer,2.0,CT,MORTGAGE
415,,,IL,MORTGAGE
416,driver,10.0,CA,RENT
417,hr,5.0,GA,MORTGAGE
418,professor,10.0,CA,MORTGAGE
419,vicepresident,10.0,CA,MORTGAGE
420,,,CA,RENT
421,painter,4.0,NY,RENT
422,office manager,1.0,GA,MORTGAGE
423,systems engineer,10.0,MD,RENT
424,,,NJ,RENT
425,survey designer,5.0,VA,RENT
426,medical biller,10.0,NJ,MORTGAGE
427,teller,0.0,MI,RENT
428,registered professional land surveyor,4.0,TX,MORTGAGE
429,office manager,4.0,CA,RENT
430,registered nurse,8.0,IL,MORTGAGE
431,sheriff deputy,10.0,MN,MORTGAGE
432,instructor,10.0,TN,OWN
433,,,UT,OWN
434,parts specialist,10.0,WA,MORTGAGE
435,humans resources ,4.0,IL,RENT
436,rehabilitation counselor ,3.0,AL,RENT
437,purchasing,10.0,IL,RENT
438,bartender,10.0,FL,OWN
439,teacher ,10.0,NJ,RENT
440,,,LA,OWN
441,insurance verification coordinator ,9.0,MI,RENT
442,qa analyst,10.0,CA,MORTGAGE
443,program coordinator ,10.0,IL,MORTGAGE
444,iss rep,0.0,MI,OWN
445,teacher ,2.0,TX,RENT
446,software development engineer in test,1.0,TX,RENT
447,program manager,10.0,MT,MORTGAGE
448,set designer,5.0,NY,RENT
449,senior teller,4.0,ME,RENT
450,sales,10.0,OR,MORTGAGE
451,superintendent ,8.0,CA,RENT
452,assistant principal,0.0,GA,RENT
453,service expert ,0.0,MD,RENT
454,manager,1.0,PA,RENT
455,user access manager,0.0,CA,RENT
456,technology coordinator,9.0,LA,MORTGAGE
457,truck driver,4.0,CA,MORTGAGE
458,extruder,0.0,MN,RENT
459,sales,3.0,CA,MORTGAGE
460,auto damage appraiser,10.0,AL,MORTGAGE
461,"sr, examiner",10.0,NY,RENT
462,retail sales,10.0,LA,RENT
463,account supporr,6.0,WI,MORTGAGE
464,lead teller,4.0,IL,RENT
465,,,CA,RENT
466,administrator,10.0,TX,MORTGAGE
467,union carpenter,3.0,NV,MORTGAGE
468,professor,10.0,LA,OWN
469,administrative associate,10.0,CT,MORTGAGE
470,medical billing ,10.0,WA,MORTGAGE
471,registrar,1.0,SC,RENT
472,office manager ,1.0,CA,RENT
473,executive director,5.0,CO,RENT
474,deli steward,1.0,OR,RENT
475,software developer,5.0,NC,MORTGAGE
476,rx lab tecg,5.0,FL,RENT
477,,,AZ,RENT
478,ptl,5.0,NY,RENT
479,copywriter,2.0,NJ,RENT
480,maintenance technician,5.0,IL,MORTGAGE
481,sales consultant ,2.0,CO,RENT
482,executive director ,3.0,FL,MORTGAGE
483,customer service manager,6.0,WI,RENT
484,installer,1.0,MI,RENT
485,district manager,3.0,CA,RENT
486,depart head ,2.0,AR,OWN
487,sr culinary manager,10.0,MD,MORTGAGE
488,laborer,0.0,CA,RENT
489,asmt,10.0,FL,RENT
490,president,8.0,NJ,OWN
491,document control specialist,2.0,AZ,MORTGAGE
492,painter ,10.0,NC,RENT
493,designer,2.0,FL,RENT
494,,,IL,MORTGAGE
495,sales,10.0,FL,MORTGAGE
496,owner,6.0,CO,RENT
497,patient financial services,2.0,CA,RENT
498,master inspecter,10.0,IN,MORTGAGE
499,merchandise and lnventory leader,9.0,CA,RENT
500,owner,5.0,CT,MORTGAGE
501,computer repair consultant,10.0,AR,MORTGAGE
502,registered nurse,10.0,AK,MORTGAGE
503,sales representative,1.0,AZ,RENT
504,director of financial services,8.0,PA,MORTGAGE
505,partner,2.0,TN,OWN
506,practice manager,10.0,FL,OWN
507,feeder,9.0,IN,MORTGAGE
508,manager,10.0,OH,OWN
509,assistant general manager,1.0,NY,RENT
510,clinical coordinator ,10.0,GA,MORTGAGE
511,vp aquisitions,10.0,CA,MORTGAGE
512,line lead,10.0,PA,MORTGAGE
513,plumber,1.0,NY,RENT
514,officer,10.0,TN,MORTGAGE
515,supervisor,7.0,IN,MORTGAGE
516,receptionist,3.0,SC,MORTGAGE
517,electrician,10.0,MI,MORTGAGE
518,driver,4.0,MN,MORTGAGE
519,customer service,10.0,AR,RENT
520,veterans service representative,9.0,FL,MORTGAGE
521,accountant,2.0,MD,MORTGAGE
522,sales associate ,2.0,NY,RENT
523,driver,10.0,VA,MORTGAGE
524,store manager ,2.0,CA,RENT
525,rn,5.0,FL,MORTGAGE
526,chef,8.0,MA,MORTGAGE
527,marketing,5.0,NJ,RENT
528,operating engineer,3.0,CT,RENT
529,machinist,10.0,UT,MORTGAGE
530,owner,10.0,SC,MORTGAGE
531,supervisor,4.0,CA,RENT
532,service specialist,1.0,WA,MORTGAGE
533,office manager,3.0,CT,MORTGAGE
534,sales specialist,10.0,OH,MORTGAGE
535,full charge book keeper,4.0,NC,RENT
536,,,OH,OWN
537,associate ,3.0,NJ,RENT
538,satellite network engineer,4.0,LA,OWN
539,sales,7.0,CO,MORTGAGE
540,project coordinator,2.0,NY,RENT
541,registered nurse,5.0,AL,RENT
542,cleaner,5.0,MD,RENT
543,nurse,5.0,IL,RENT
544,prep cook,6.0,OH,OWN
545,transportation specialist,2.0,OK,MORTGAGE
546,,,CA,RENT
547,sr programmer,10.0,MD,OWN
548,bus operator ,2.0,CO,RENT
549,meat wrapper,10.0,MI,MORTGAGE
550,regional account manager,3.0,GA,MORTGAGE
551,project manager,5.0,OK,RENT
552,automotive technician,10.0,IN,MORTGAGE
553,accounts receivable coordinator,4.0,FL,MORTGAGE
554,radiologic technologist,2.0,NJ,RENT
555,teacher,10.0,KS,RENT
556,ceo,10.0,IL,MORTGAGE
557,srv analysts ,7.0,TX,RENT
558,program manager,10.0,NY,MORTGAGE
559,police officer,6.0,NJ,MORTGAGE
560,,,CA,OWN
561,night operations manager ,10.0,FL,OWN
562,reciever,0.0,MA,RENT
563,registered nurse,3.0,NY,RENT
564,senior cohort sales advisor,3.0,VA,RENT
565,quantitative modeller,2.0,OR,MORTGAGE
566,programs manager,2.0,NC,MORTGAGE
567,store associate,10.0,NY,RENT
568,fleet manager,8.0,FL,RENT
569,lineman,10.0,OH,MORTGAGE
570,mechanic,1.0,WI,OWN
571,tank relocation specialist ,3.0,KY,OWN
572,owner,10.0,NY,OWN
573,locomotive engineer,10.0,NY,OWN
574,hr director ,5.0,OH,RENT
575,loan officer,10.0,CT,MORTGAGE
576,,,MS,OWN
577,human resources director,2.0,WA,MORTGAGE
578,ceo,10.0,MO,MORTGAGE
579,mechanic,8.0,NY,MORTGAGE
580,security supervisor,6.0,MS,RENT
581,store manager,1.0,CA,MORTGAGE
582,administrative assistant-requisitions,3.0,AK,MORTGAGE
583,business analyst,0.0,SC,MORTGAGE
584,patrolman,1.0,NJ,RENT
585,account executive,3.0,CA,MORTGAGE
586,,,AL,RENT
587,owner/manager,0.0,GA,RENT
588,supervisory passport specialist ,10.0,GA,RENT
589,vp global business development,10.0,TX,MORTGAGE
590,program coordinator,0.0,MI,MORTGAGE
591,store manager,9.0,FL,RENT
592,chief solutions officer,10.0,TN,MORTGAGE
593,,,GA,MORTGAGE
594,sales,7.0,TX,RENT
595,housekeeper,10.0,NY,RENT
596,chefs ,6.0,VA,RENT
597,driver,4.0,OH,OWN
598,department manager,10.0,GA,MORTGAGE
599,teacher,5.0,WA,MORTGAGE
600,executive assistant,9.0,CA,RENT
601,farmer,5.0,MN,RENT
602,lpn ,1.0,NY,OWN
603,owner,3.0,OH,MORTGAGE
604,enterprise product manager,1.0,CA,RENT
605,account supervisor,10.0,MA,RENT
606,healthcare coordinator,4.0,FL,MORTGAGE
607,"vice president, sales and marketing",10.0,CA,MORTGAGE
608,unexploded ordnance technician 2,8.0,VA,RENT
609,"registered nurse,charge",7.0,KY,OWN
610,marketing support specialist,5.0,OH,RENT
611,vocational rehabilitation counselor,2.0,CA,RENT
612,owner operator,4.0,PA,OWN
613,,,MS,RENT
614,engineer,10.0,TX,RENT
615,assistant librarian,10.0,NY,RENT
616,field biologist,1.0,LA,OWN
617,field supervisor,10.0,AZ,MORTGAGE
618,selling specialist,0.0,FL,RENT
619,"manager, data surveys",10.0,FL,RENT
620,rn clinical educator,10.0,IN,MORTGAGE
621,partner,10.0,CA,RENT
622,register nurse,2.0,NC,RENT
623,"sports manager, ad sales marketing",2.0,NJ,MORTGAGE
624,president,5.0,FL,MORTGAGE
625,operations manager,2.0,RI,MORTGAGE
626,marketing manager,10.0,TX,OWN
627,executive assistant/office manager ,2.0,WA,RENT
628,assistant,3.0,CA,RENT
629,distribution manager,10.0,KY,MORTGAGE
630,director international relations,9.0,NJ,MORTGAGE
631,commercial analyst,0.0,NJ,RENT
632,alarm technician ,10.0,NY,MORTGAGE
633,caregiver & geiger,10.0,WA,RENT
634,c&c operator,10.0,NY,MORTGAGE
635,credit support specialist,0.0,CA,RENT
636,registered nurse,1.0,IL,RENT
637,account executive ,4.0,MN,MORTGAGE
638,custodial,10.0,NY,MORTGAGE
639,manager,9.0,KS,MORTGAGE
640,corporate ehs officer,0.0,NC,RENT
641,payroll administration ,3.0,TX,MORTGAGE
642,supervisor,8.0,NE,MORTGAGE
643,electronic tech iv,4.0,CA,MORTGAGE
644,hairstylist,10.0,TX,MORTGAGE
645,waitress,10.0,LA,OWN
646,cook,10.0,MO,RENT
647,sales manager,10.0,NJ,OWN
648,executive vice president,3.0,PA,MORTGAGE
649,rn,7.0,OH,MORTGAGE
650,doorman,2.0,NY,RENT
651,,,CA,RENT
652,senior banker,7.0,NJ,MORTGAGE
653,,,AZ,RENT
654,realtor,8.0,MA,OWN
655,senior paralegal,5.0,GA,OWN
656,teacher aide,2.0,NY,RENT
657,deputy,4.0,GA,MORTGAGE
658,licensed staff agent,10.0,WV,MORTGAGE
659,pharmaceutical sales rep,2.0,IL,OWN
660,paraprofessional,4.0,FL,MORTGAGE
661,campus safety officer,0.0,CO,MORTGAGE
662,teacher,10.0,NC,MORTGAGE
663,consultant,8.0,NY,RENT
664,quality team leader,8.0,MI,MORTGAGE
665,,,OR,OWN
666,crane operator ,10.0,FL,MORTGAGE
667,data analyst,1.0,CA,RENT
668,operator,3.0,ND,RENT
669,law enforcement/traffic control ,10.0,TX,RENT
670,teacher,10.0,TX,RENT
671,senior vice president,9.0,MD,MORTGAGE
672,client service manager,4.0,WI,MORTGAGE
673,teacher ,2.0,TX,RENT
674,superviser,10.0,IN,MORTGAGE
675,captain,10.0,TX,MORTGAGE
676,accountant,10.0,VA,MORTGAGE
677,owner,10.0,CO,OWN
678,help desk analyst,0.0,TX,RENT
679,chemist,2.0,MA,RENT
680,executive,10.0,MO,MORTGAGE
681,manager,10.0,IL,MORTGAGE
682,dispatcher ,3.0,IN,MORTGAGE
683,full stack developer,1.0,IL,RENT
684,graduate assistant,3.0,NM,RENT
685,caregiver coordinator,2.0,NV,RENT
686,creative director,1.0,NY,RENT
687,electrical engineer technician ii,1.0,SC,MORTGAGE
688,service manager,2.0,VA,MORTGAGE
689,specimen processor ,2.0,UT,MORTGAGE
690,owner,4.0,IL,RENT
691,sous chef,10.0,FL,OWN
692,consultant,4.0,CA,RENT
693,propane clerk,2.0,MT,RENT
694,special education teacher,5.0,NY,MORTGAGE
695,warehouseman ,10.0,CA,RENT
696,tech ,10.0,MN,MORTGAGE
697,agency owner-president,10.0,CO,MORTGAGE
